"Kod";"Nazwa";"Rodzaje urządzeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"1999";3328;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2000";2961;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2001";2936;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2002";2715;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2009";1886;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2013";2075;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2017";1997;"ob.";""
0000000;"POLSKA";"boisko do siatkówki lub koszykówki";"2021";1501;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"1999";;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2000";;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2001";;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2002";;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2009";;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2013";969;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2017";1015;"ob.";""
0000000;"POLSKA";"boisko do piłki nożnej";"2021";793;"ob.";""
0000000;"POLSKA";"kort tenisowy";"1999";888;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2000";859;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2001";837;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2002";780;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2009";652;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2013";674;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2017";658;"ob.";""
0000000;"POLSKA";"kort tenisowy";"2021";525;"ob.";""
0000000;"POLSKA";"basen kryty";"1999";210;"ob.";""
0000000;"POLSKA";"basen kryty";"2000";220;"ob.";""
0000000;"POLSKA";"basen kryty";"2001";215;"ob.";""
0000000;"POLSKA";"basen kryty";"2002";232;"ob.";""
0000000;"POLSKA";"basen kryty";"2009";383;"ob.";""
0000000;"POLSKA";"basen kryty";"2013";569;"ob.";""
0000000;"POLSKA";"basen kryty";"2017";695;"ob.";""
0000000;"POLSKA";"basen kryty";"2021";689;"ob.";""
0000000;"POLSKA";"basen otwarty";"1999";;"ob.";""
0000000;"POLSKA";"basen otwarty";"2000";;"ob.";""
0000000;"POLSKA";"basen otwarty";"2001";;"ob.";""
0000000;"POLSKA";"basen otwarty";"2002";;"ob.";""
0000000;"POLSKA";"basen otwarty";"2009";;"ob.";""
0000000;"POLSKA";"basen otwarty";"2013";348;"ob.";""
0000000;"POLSKA";"basen otwarty";"2017";389;"ob.";""
0000000;"POLSKA";"basen otwarty";"2021";311;"ob.";""
0000000;"POLSKA";"siłownia";"1999";953;"ob.";""
0000000;"POLSKA";"siłownia";"2000";977;"ob.";""
0000000;"POLSKA";"siłownia";"2001";1003;"ob.";""
0000000;"POLSKA";"siłownia";"2002";1014;"ob.";""
0000000;"POLSKA";"siłownia";"2009";1050;"ob.";""
0000000;"POLSKA";"siłownia";"2013";1171;"ob.";""
0000000;"POLSKA";"siłownia";"2017";1380;"ob.";""
0000000;"POLSKA";"siłownia";"2021";1260;"ob.";""
0000000;"POLSKA";"sauna";"1999";979;"ob.";""
0000000;"POLSKA";"sauna";"2000";977;"ob.";""
0000000;"POLSKA";"sauna";"2001";1011;"ob.";""
0000000;"POLSKA";"sauna";"2002";1023;"ob.";""
0000000;"POLSKA";"sauna";"2009";1341;"ob.";""
0000000;"POLSKA";"sauna";"2013";1562;"ob.";""
0000000;"POLSKA";"sauna";"2017";1845;"ob.";""
0000000;"POLSKA";"sauna";"2021";1604;"ob.";""
0000000;"POLSKA";"solarium";"1999";419;"ob.";""
0000000;"POLSKA";"solarium";"2000";450;"ob.";""
0000000;"POLSKA";"solarium";"2001";466;"ob.";""
0000000;"POLSKA";"solarium";"2002";482;"ob.";""
0000000;"POLSKA";"solarium";"2009";439;"ob.";""
0000000;"POLSKA";"solarium";"2013";366;"ob.";""
0000000;"POLSKA";"solarium";"2017";267;"ob.";""
0000000;"POLSKA";"solarium";"2021";168;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"1999";;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2000";;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2001";;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2002";;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2009";;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2013";792;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2017";943;"ob.";""
0000000;"POLSKA";"zabiegi SPA";"2021";851;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"1999";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2000";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2001";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2002";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2009";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2013";;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2017";1084;"ob.";""
0000000;"POLSKA";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2021";882;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"1999";;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2000";;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2001";;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2002";;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2009";;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2013";659;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2017";714;"ob.";""
0000000;"POLSKA";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2021";540;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"1999";1551;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2000";1462;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2001";1496;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2002";1437;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2009";1474;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2013";1641;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2017";1759;"ob.";""
0000000;"POLSKA";"stół do bilardu z wyposażeniem";"2021";1320;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"1999";3352;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2000";3019;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2001";2955;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2002";2780;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2009";2013;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2013";2017;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2017";2065;"ob.";""
0000000;"POLSKA";"stół do tenisa stołowego z wyposażeniem";"2021";1607;"ob.";""
0000000;"POLSKA";"kręgle";"1999";;"ob.";""
0000000;"POLSKA";"kręgle";"2000";;"ob.";""
0000000;"POLSKA";"kręgle";"2001";;"ob.";""
0000000;"POLSKA";"kręgle";"2002";;"ob.";""
0000000;"POLSKA";"kręgle";"2009";;"ob.";""
0000000;"POLSKA";"kręgle";"2013";203;"ob.";""
0000000;"POLSKA";"kręgle";"2017";242;"ob.";""
0000000;"POLSKA";"kręgle";"2021";235;"ob.";""
0000000;"POLSKA";"mini golf";"1999";59;"ob.";""
0000000;"POLSKA";"mini golf";"2000";45;"ob.";""
0000000;"POLSKA";"mini golf";"2001";69;"ob.";""
0000000;"POLSKA";"mini golf";"2002";67;"ob.";""
0000000;"POLSKA";"mini golf";"2009";92;"ob.";""
0000000;"POLSKA";"mini golf";"2013";110;"ob.";""
0000000;"POLSKA";"mini golf";"2017";129;"ob.";""
0000000;"POLSKA";"mini golf";"2021";104;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"1999";1433;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2000";1234;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2001";1162;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2002";1069;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2009";697;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2013";724;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2017";705;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu pływającego";"2021";536;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"1999";;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2000";;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2001";;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2002";;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2009";;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2013";1676;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2017";1891;"ob.";""
0000000;"POLSKA";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2021";1501;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"1999";1119;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2000";911;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2001";909;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2002";857;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2009";589;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2013";1082;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2017";1451;"ob.";""
0000000;"POLSKA";"pokój zabaw dla dzieci";"2021";1268;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"1999";;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2000";;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2001";;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2002";;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2009";;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2013";198;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2017";156;"ob.";""
0000000;"POLSKA";"hipodrom/stadnina koni w obiekcie";"2021";120;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"1999";1353;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2000";1330;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2001";1523;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2002";1478;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2009";1268;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2013";;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2017";;"ob.";""
0000000;"POLSKA";"wypożyczalnia rowerów";"2021";;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"1999";1032;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2000";984;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2001";1054;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2002";982;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2009";;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2013";;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2017";;"ob.";""
0000000;"POLSKA";"ścieżka zdrowia";"2021";;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"1999";985;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2000";926;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2001";1067;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2002";972;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2009";;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2013";;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2017";;"ob.";""
0000000;"POLSKA";"możliwość jazdy konnej";"2021";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"1999";234;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2000";232;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2001";251;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2002";217;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2009";121;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2013";131;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2017";128;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do siatkówki lub koszykówki";"2021";97;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2013";65;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2017";71;"ob.";""
0200000;"DOLNOŚLĄSKIE";"boisko do piłki nożnej";"2021";48;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"1999";64;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2000";64;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2001";62;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2002";51;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2009";45;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2013";45;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2017";48;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kort tenisowy";"2021";32;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"1999";22;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2000";23;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2001";22;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2002";21;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2009";45;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2013";63;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2017";83;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen kryty";"2021";84;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2013";34;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2017";31;"ob.";""
0200000;"DOLNOŚLĄSKIE";"basen otwarty";"2021";22;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"1999";97;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2000";98;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2001";110;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2002";109;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2009";108;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2013";116;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2017";140;"ob.";""
0200000;"DOLNOŚLĄSKIE";"siłownia";"2021";130;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"1999";120;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2000";130;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2001";144;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2002";135;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2009";170;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2013";170;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2017";211;"ob.";""
0200000;"DOLNOŚLĄSKIE";"sauna";"2021";170;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"1999";47;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2000";55;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2001";60;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2002";62;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2009";51;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2013";32;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2017";28;"ob.";""
0200000;"DOLNOŚLĄSKIE";"solarium";"2021";20;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2013";93;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2017";125;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi SPA";"2021";96;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2013";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2017";139;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zabiegi rehabilitacyjne (masaże, fizykoterapia itp.)";"2021";94;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2013";56;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2017";81;"ob.";""
0200000;"DOLNOŚLĄSKIE";"zajęcia prowadzone przez instruktora (np.fitness, joga, aerobik, gimnastyka)";"2021";59;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"1999";156;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2000";163;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2001";172;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2002";165;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2009";131;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2013";147;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2017";139;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do bilardu z wyposażeniem";"2021";93;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"1999";264;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2000";264;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2001";279;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2002";247;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2009";165;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2013";133;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2017";146;"ob.";""
0200000;"DOLNOŚLĄSKIE";"stół do tenisa stołowego z wyposażeniem";"2021";153;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2013";18;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2017";25;"ob.";""
0200000;"DOLNOŚLĄSKIE";"kręgle";"2021";17;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"1999";5;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2000";3;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2001";4;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2002";6;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2009";7;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2013";5;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2017";10;"ob.";""
0200000;"DOLNOŚLĄSKIE";"mini golf";"2021";6;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"1999";32;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2000";30;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2001";25;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2002";19;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2009";15;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2013";24;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2017";13;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu pływającego";"2021";10;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"1999";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2000";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2001";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2002";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2013";130;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2017";134;"ob.";""
0200000;"DOLNOŚLĄSKIE";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki)";"2021";135;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"1999";75;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2000";75;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2001";80;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2002";73;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2009";47;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2013";104;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2017";157;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokój zabaw dla dzieci";"2021";174;"ob.";""
